date,dateHijri,adhanFajr,iqamaFajr,shourouk,adhanDhuhr,iqamaDhuhr,adhanAsr,iqamaAsr,adhanMaghrib,iqamaMaghrib,adhanIsha,iqamaIsha,Jumua1,Jumua2
04/02/2020,"AlKhamis, 02 Rabi' Thani, 2020",5:09 AM,5:50 AM,6:33 AM,12:59 PM,1:15 PM,5:28 PM,6:00 PM,7:27 PM,7:27 PM,8:48 PM,9:00 PM,1:15 PM,2:15 PM
04/03/2020,"AlJumaa, 03 Rabi' Thani, 2020",5:06 AM,5:50 AM,6:31 AM,12:58 PM,1:15 PM,5:29 PM,6:00 PM,7:28 PM,7:28 PM,8:50 PM,9:00 PM,1:15 PM,2:15 PM
04/04/2020,"AsSabt, 04 Rabi' Thani, 2020",5:04 AM,5:50 AM,6:29 AM,12:58 PM,1:15 PM,5:30 PM,6:00 PM,7:29 PM,7:29 PM,8:52 PM,9:00 PM,1:15 PM,2:15 PM
04/05/2020,"AlAhad, 05 Rabi' Thani, 2020",5:02 AM,5:50 AM,6:28 AM,12:58 PM,1:15 PM,5:31 PM,6:00 PM,7:31 PM,7:31 PM,8:53 PM,9:00 PM,1:15 PM,2:15 PM
04/06/2020,"AlEthnien, 06 Rabi' Thani, 2020",5:00 AM,5:50 AM,6:26 AM,12:57 PM,1:15 PM,5:32 PM,6:00 PM,7:32 PM,7:32 PM,8:55 PM,9:00 PM,1:15 PM,2:15 PM
04/07/2020,"AthThulatha, 07 Rabi' Thani, 2020",4:58 AM,5:30 AM,6:24 AM,12:57 PM,1:15 PM,5:33 PM,6:00 PM,7:33 PM,7:33 PM,8:56 PM,9:15 PM,1:15 PM,2:15 PM
04/08/2020,"AlArbia'a, 08 Rabi' Thani, 2020",4:56 AM,5:30 AM,6:22 AM,12:57 PM,1:15 PM,5:34 PM,6:00 PM,7:34 PM,7:34 PM,8:58 PM,9:15 PM,1:15 PM,2:15 PM
04/09/2020,"AlKhamis, 09 Rabi' Thani, 2020",4:54 AM,5:30 AM,6:20 AM,12:57 PM,1:15 PM,5:35 PM,6:00 PM,7:36 PM,7:36 PM,8:59 PM,9:15 PM,1:15 PM,2:15 PM
04/10/2020,"AlJumaa, 10 Rabi' Thani, 2020",4:51 AM,5:30 AM,6:18 AM,12:56 PM,1:15 PM,5:35 PM,6:00 PM,7:37 PM,7:37 PM,9:01 PM,9:15 PM,1:15 PM,2:15 PM
04/11/2020,"AsSabt, 11 Rabi' Thani, 2020",4:49 AM,5:30 AM,6:16 AM,12:56 PM,1:15 PM,5:36 PM,6:00 PM,7:38 PM,7:38 PM,9:03 PM,9:15 PM,1:15 PM,2:15 PM
04/12/2020,"AlAhad, 12 Rabi' Thani, 2020",4:47 AM,5:30 AM,6:15 AM,12:56 PM,1:15 PM,5:37 PM,6:00 PM,7:40 PM,7:40 PM,9:04 PM,9:15 PM,1:15 PM,2:15 PM
04/13/2020,"AlEthnien, 13 Rabi' Thani, 2020",4:45 AM,5:30 AM,6:13 AM,12:55 PM,1:15 PM,5:38 PM,6:00 PM,7:41 PM,7:41 PM,9:06 PM,9:15 PM,1:15 PM,2:15 PM
04/14/2020,"AthThulatha, 14 Rabi' Thani, 2020",4:43 AM,5:20 AM,6:11 AM,12:55 PM,1:15 PM,5:39 PM,6:20 PM,7:42 PM,7:42 PM,9:08 PM,9:25 PM,1:15 PM,2:15 PM
04/15/2020,"AlArbia'a, 15 Rabi' Thani, 2020",4:41 AM,5:20 AM,6:09 AM,12:55 PM,1:15 PM,5:40 PM,6:20 PM,7:44 PM,7:44 PM,9:09 PM,9:25 PM,1:15 PM,2:15 PM
04/16/2020,"AlKhamis, 16 Rabi' Thani, 2020",4:39 AM,5:20 AM,6:07 AM,12:55 PM,1:15 PM,5:41 PM,6:20 PM,7:45 PM,7:45 PM,9:11 PM,9:25 PM,1:15 PM,2:15 PM
04/17/2020,"AlJumaa, 17 Rabi' Thani, 2020",4:36 AM,5:20 AM,6:06 AM,12:54 PM,1:15 PM,5:41 PM,6:20 PM,7:46 PM,7:46 PM,9:13 PM,9:25 PM,1:15 PM,2:15 PM
04/18/2020,"AsSabt, 18 Rabi' Thani, 2020",4:34 AM,5:20 AM,6:04 AM,12:54 PM,1:15 PM,5:42 PM,6:20 PM,7:47 PM,7:47 PM,9:14 PM,9:25 PM,1:15 PM,2:15 PM
04/19/2020,"AlAhad, 19 Rabi' Thani, 2020",4:32 AM,5:20 AM,6:02 AM,12:54 PM,1:15 PM,5:43 PM,6:20 PM,7:49 PM,7:49 PM,9:16 PM,9:25 PM,1:15 PM,2:15 PM
04/20/2020,"AlEthnien, 20 Rabi' Thani, 2020",4:30 AM,5:20 AM,6:01 AM,12:54 PM,1:15 PM,5:44 PM,6:20 PM,7:50 PM,7:50 PM,9:18 PM,9:25 PM,1:15 PM,2:15 PM
04/21/2020,"AthThulatha, 21 Rabi' Thani, 2020",4:28 AM,5:00 AM,5:59 AM,12:54 PM,1:15 PM,5:45 PM,6:30 PM,7:51 PM,7:51 PM,9:19 PM,9:35 PM,1:15 PM,2:15 PM
