,date,dateHijri,adhanFajr,iqamaFajr,shourouk,adhanDhuhr,iqamaDhuhr,adhanAsr,iqamaAsr,adhanMaghrib,iqamaMaghrib,adhanIsha,iqamaIsha,Jumua1,Jumua2
86,03/27/2024,"AlJumaa, 27 Rabi' Awwal, 2024",05:20 AM,05:40 AM,06:44 AM,01:01 PM,01:15 PM,04:31 PM,05:00 PM,07:17 PM,07:22 PM,08:41 PM,08:56 PM,12:15 PM,1:15 PM
87,03/28/2024,"AsSabt, 28 Rabi' Awwal, 2024",05:18 AM,05:38 AM,06:42 AM,01:00 PM,01:15 PM,04:32 PM,05:00 PM,07:19 PM,07:24 PM,08:42 PM,08:57 PM,12:15 PM,1:15 PM
88,03/29/2024,"AlAhad, 29 Rabi' Awwal, 2024",05:16 AM,05:36 AM,06:40 AM,01:00 PM,01:15 PM,04:32 PM,05:00 PM,07:20 PM,07:25 PM,08:44 PM,08:59 PM,12:15 PM,1:15 PM
89,03/30/2024,"AlEthnien, 30 Rabi' Awwal, 2024",05:14 AM,05:34 AM,06:38 AM,01:00 PM,01:15 PM,04:33 PM,05:00 PM,07:21 PM,07:26 PM,08:45 PM,09:00 PM,12:15 PM,1:15 PM
90,03/31/2024,"AthThulatha, 31 Rabi' Awwal, 2024",05:12 AM,05:32 AM,06:36 AM,12:59 PM,01:15 PM,04:34 PM,05:00 PM,07:23 PM,07:28 PM,08:47 PM,09:02 PM,12:15 PM,1:15 PM
91,04/01/2024,"AlArbia'a, 01 Rabi' Thani, 2024",05:10 AM,05:30 AM,06:34 AM,12:59 PM,01:15 PM,04:34 PM,05:00 PM,07:22 PM,07:27 PM,08:49 PM,09:04 PM,1:15 PM,2:15 PM
92,04/02/2024,"AlKhamis, 02 Rabi' Thani, 2024",05:08 AM,05:28 AM,06:32 AM,12:59 PM,01:15 PM,04:35 PM,05:00 PM,07:24 PM,07:29 PM,08:50 PM,09:05 PM,1:15 PM,2:15 PM
93,04/03/2024,"AlJumaa, 03 Rabi' Thani, 2024",05:06 AM,05:26 AM,06:31 AM,12:59 PM,01:15 PM,04:35 PM,05:00 PM,07:26 PM,07:31 PM,08:52 PM,09:07 PM,1:15 PM,2:15 PM
94,04/04/2024,"AsSabt, 04 Rabi' Thani, 2024",05:03 AM,05:23 AM,06:29 AM,12:58 PM,01:15 PM,04:36 PM,05:00 PM,07:28 PM,07:33 PM,08:53 PM,09:08 PM,1:15 PM,2:15 PM
95,04/05/2024,"AlAhad, 05 Rabi' Thani, 2024",05:01 AM,05:21 AM,06:27 AM,12:58 PM,01:15 PM,04:37 PM,05:00 PM,07:29 PM,07:34 PM,08:55 PM,09:10 PM,1:15 PM,2:15 PM
96,04/06/2024,"AlEthnien, 06 Rabi' Thani, 2024",04:59 AM,05:19 AM,06:25 AM,12:58 PM,01:15 PM,04:37 PM,05:00 PM,07:30 PM,07:35 PM,08:56 PM,09:11 PM,1:15 PM,2:15 PM
